batch_size,micro_batch_size,pp_size,tp_size,dp_size,training_time(sec)
512,16,4,8,2,FAIL(1)
512,16,4,4,4,FAIL(1)
512,16,4,2,8,OOM ERROR
512,16,4,1,16,OOM ERROR
512,16,2,32,1,EXCEPTION
512,16,2,16,2,EXCEPTION
512,16,2,8,4,FAIL(1)
512,16,2,4,8,FAIL(1)
512,16,2,2,16,OOM ERROR
512,16,2,1,32,OOM ERROR
512,32,64,1,1,#MB < PP(1F1B DEADLOCK)
512,32,32,2,1,EXCEPTION
512,32,32,1,2,#MB < PP(1F1B DEADLOCK)
512,32,16,4,1,382.349
512,32,16,2,2,256.260
512,32,16,1,4,FAIL(1)
512,32,8,8,1,640.905
512,32,8,4,2,358.375
512,32,8,2,4,FAIL(1)
512,32,8,1,8,OOM ERROR
512,32,4,16,1,EXCEPTION
512,32,4,8,2,668.258
512,32,4,4,4,308.510
512,32,4,2,8,OOM ERROR
512,32,4,1,16,OOM ERROR
512,32,2,32,1,EXCEPTION
512,32,2,16,2,FAIL(1)
512,32,2,8,4,470.063
512,32,2,4,8,FAIL(1)
512,32,2,2,16,FAIL(1)
512,32,2,1,32,OOM ERROR
512,64,64,1,1,#MB < PP(1F1B DEADLOCK)
512,64,32,2,1,EXCEPTION
512,64,32,1,2,#MB < PP(1F1B DEADLOCK)
512,64,16,4,1,#MB < PP(1F1B DEADLOCK)
512,64,16,2,2,#MB < PP(1F1B DEADLOCK)
512,64,16,1,4,#MB < PP(1F1B DEADLOCK)
512,64,8,8,1,610.322
512,64,8,4,2,336.785
512,64,8,2,4,193.758
512,64,8,1,8,FAIL(1)
512,64,4,16,1,EXCEPTION
512,64,4,8,2,659.219
512,64,4,4,4,316.738
512,64,4,2,8,182.995
512,64,4,1,16,OOM ERROR
512,64,2,32,1,EXCEPTION
512,64,2,16,2,FAIL(1)
512,64,2,8,4,496.703
512,64,2,4,8,215.962
512,64,2,2,16,FAIL(1)
512,64,2,1,32,FAIL(1)
256,4,64,1,1,FAIL(1)
256,4,32,2,1,EXCEPTION
256,4,32,1,2,FAIL(1)
256,4,16,4,1,FAIL(1)
256,4,16,2,2,FAIL(1)
256,4,16,1,4,FAIL(1)
256,4,8,8,1,FAIL(1)
256,4,8,4,2,FAIL(1)
256,4,8,2,4,FAIL(1)
256,4,8,1,8,OOM ERROR
256,4,4,16,1,EXCEPTION
256,4,4,8,2,OOM ERROR
256,4,4,4,4,FAIL(1)
256,4,4,2,8,FAIL(1)
256,4,4,1,16,OOM ERROR
256,4,2,32,1,EXCEPTION
256,4,2,16,2,FAIL(1)
256,4,2,8,4,OOM ERROR
256,4,2,4,8,OOM ERROR
256,4,2,2,16,OOM ERROR
256,4,2,1,32,OOM ERROR
256,8,64,1,1,#MB < PP(1F1B DEADLOCK)
256,8,32,2,1,EXCEPTION
256,8,32,1,2,FAIL(1)
256,8,16,4,1,522.678
256,8,16,2,2,380.274
256,8,16,1,4,FAIL(1)
256,8,8,8,1,780.149
256,8,8,4,2,FAIL(1)
256,8,8,2,4,FAIL(1)
256,8,8,1,8,FAIL(1)
256,8,4,16,1,EXCEPTION
256,8,4,8,2,FAIL(1)
256,8,4,4,4,OOM ERROR
256,8,4,2,8,FAIL(1)
256,8,4,1,16,OOM ERROR
256,8,2,32,1,EXCEPTION
256,8,2,16,2,FAIL(1)
256,8,2,8,4,FAIL(1)
256,8,2,4,8,FAIL(1)
256,8,2,2,16,OOM ERROR
256,8,2,1,32,OOM ERROR
256,16,64,1,1,#MB < PP(1F1B DEADLOCK)
256,16,32,2,1,EXCEPTION
256,16,32,1,2,#MB < PP(1F1B DEADLOCK)
256,16,16,4,1,428.667
256,16,16,2,2,305.167
256,16,16,1,4,FAIL(1)
256,16,8,8,1,684.460
256,16,8,4,2,373.044
256,16,8,2,4,225.946
256,16,8,1,8,FAIL(1)
256,16,4,16,1,FAIL(1)
256,16,4,8,2,830.005
256,16,4,4,4,400.796
256,16,4,2,8,OOM ERROR
256,16,4,1,16,OOM ERROR
256,16,2,32,1,EXCEPTION
256,16,2,16,2,EXCEPTION
256,16,2,8,4,592.056
256,16,2,4,8,FAIL(1)
256,16,2,2,16,OOM ERROR
256,16,2,1,32,OOM ERROR
256,32,64,1,1,#MB < PP(1F1B DEADLOCK)
256,32,32,2,1,EXCEPTION
256,32,32,1,2,#MB < PP(1F1B DEADLOCK)
256,32,16,4,1,#MB < PP(1F1B DEADLOCK)
256,32,16,2,2,#MB < PP(1F1B DEADLOCK)
256,32,16,1,4,#MB < PP(1F1B DEADLOCK)
256,32,8,8,1,678.594
256,32,8,4,2,359.603
256,32,8,2,4,207.633
256,32,8,1,8,OOM ERROR
256,32,4,16,1,EXCEPTION
256,32,4,8,2,801.528
256,32,4,4,4,392.294
256,32,4,2,8,239.538
256,32,4,1,16,FAIL(1)
256,32,2,32,1,EXCEPTION
256,32,2,16,2,EXCEPTION
256,32,2,8,4,614.654
256,32,2,4,8,270.136
256,32,2,2,16,FAIL(1)
256,32,2,1,32,FAIL(1)
256,64,64,1,1,#MB < PP(1F1B DEADLOCK)
256,64,32,2,1,EXCEPTION
256,64,32,1,2,#MB < PP(1F1B DEADLOCK)
256,64,16,4,1,#MB < PP(1F1B DEADLOCK)
256,64,16,2,2,#MB < PP(1F1B DEADLOCK)
256,64,16,1,4,#MB < PP(1F1B DEADLOCK)
256,64,8,8,1,#MB < PP(1F1B DEADLOCK)
256,64,8,4,2,#MB < PP(1F1B DEADLOCK)
256,64,8,2,4,#MB < PP(1F1B DEADLOCK)
256,64,8,1,8,#MB < PP(1F1B DEADLOCK)
256,64,4,16,1,EXCEPTION
256,64,4,8,2,822.646
256,64,4,4,4,409.754
256,64,4,2,8,247.835
256,64,4,1,16,FAIL(1)
256,64,2,32,1,EXCEPTION
256,64,2,16,2,FAIL(1)
256,64,2,8,4,595.615
256,64,2,4,8,297.067
256,64,2,2,16,OOM ERROR
256,64,2,1,32,FAIL(1)
